Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,Age,AboutMe,Views,UpVotes,DownVotes
325,837,2011-12-13 19:29:17.327,tcrosley,2014-09-13 21:44:27.620,http://www.softwest.com,"Gilbert, AZ",67,"<p>Freelance contract programmer/computer consultant since 1978, dba SOFTWEST, LLC. (www.softwest.com). BSEE/MSCS.</p>  <p>I work mostly with embedded microcontroller systems (8-16-32 bit) where I design both the hardware and firmware (usually C or C++).</p>  <p>Learning Objective-C, Ruby and Python in my spare time.</p>",13,20,4
326,158,2011-12-13 19:40:45.183,corsiKa,2014-07-25 20:33:31.797,http://none,"Calgary, AB, Canada",27,"<p><a href=""http://stackexchange.com/users/0e14a128c31245aa97b901c535f7f6e2""> <img src=""http://stackexchange.com/users/flair/0e14a128c31245aa97b901c535f7f6e2.png"" width=""208"" height=""58"" alt=""profile for corsiKa on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for corsiKa on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>  <p>Moderator on sqa.stackexchange - we welcome your QA questions!</p>  <p>Are you a part-time or freelance graphic designer looking for a lightweight project? I'm looking for some sprites :) hit me up at racket.game@gmail.com</p>  <p>Formally known as ""glowcoder"".</p>  <p>Seasonally known as ""corsiKlause Ho Ho Ho"".</p>",8,1,1
327,175,2011-12-13 19:55:21.323,Zoredache,2014-09-10 23:40:20.777,https://plus.google.com/116016060571998963190/posts,"Anacortes, WA",38,"<p>Real Name: Chris Francy</p>  <p>I work as a Senior Network Analyst at <a href=""http://www.nwesd.org/"" rel=""nofollow"">Northwest Educational Service District #189</a> in the Technology Services department.</p>  <p>The <a href=""http://www.nwesd.org/technology-services"" rel=""nofollow"">Technology Service</a> department, in addition to supporting the staff at NWESD, provides network support services to 35 K-12 school districts in Northwest Washington region.</p>  <p>In my free time, when I am not at work or answering questions, I play a lot of video games on the PC (<a href=""http://steamcommunity.com/id/zoredache"" rel=""nofollow"">Steam Profile</a>).</p>  <p>You can find more links to various websites and social networks on my <a href=""http://www.google.com/profiles/francyci"" rel=""nofollow"">Google profile</a>.</p>  <p><a href=""http://stackexchange.com/users/10673""> <img src=""http://stackexchange.com/users/flair/10673.png"" width=""208"" height=""58"" alt=""profile for Zoredache on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Zoredache on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>",1,31,1
328,101,2011-12-13 20:06:01.920,Arie,2011-12-13 20:06:01.920,http://StackOverflow.Com/users/76501,Indonesia,33,"<p>A Strategist. Ruby on Rails (RoR) Web Developer with more than 5 years of experience in various industries. <a href=""http://bit.ly/Oue4s"" rel=""nofollow"">Click here to see About Arie</a>.</p>",0,0,0
329,101,2011-12-13 20:13:28.737,antony.trupe,2014-09-02 20:35:29.403,http://antonytrupe.com,"Lynchburg, VA",32,"<p><a href=""http://www.antonytrupe.com/p/husband"" rel=""nofollow"">husband</a>, <a href=""http://www.antonytrupe.com/p/father"" rel=""nofollow"">father</a>, <a href=""http://www.antonytrupe.com/p/developer"" rel=""nofollow"">developer</a>, <a href=""http://www.antonytrupe.com/p/tester"" rel=""nofollow"">tester</a>, <a href=""http://www.antonytrupe.com/p/maker"" rel=""nofollow"">maker</a>, <a href=""http://www.antonytrupe.com/p/employee"" rel=""nofollow"">business process analyst</a>, <a href=""http://www.antonytrupe.com/p/american"" rel=""nofollow"">usa citizen</a>, <a href=""http://www.antonytrupe.com/p/human"" rel=""nofollow"">human</a></p>",1,12,0
330,101,2011-12-13 21:40:56.433,shufler,2013-12-30 17:56:34.123,http://shufler.net,"Toronto, Canada",32,<p><strike>SharePoint infrastructure pays my bills.</strike> <strike>PHP pays my bills.</strike> SharePoint infrastructure pays my bills.</p>,4,45,0
331,101,2011-12-13 22:28:59.210,Raskolnikov,2014-06-01 18:24:03.550,NULL,Belgium,NULL,"<blockquote>   <p>""I would never die for my beliefs   because I might be wrong.""</p> </blockquote>  <p>-- Bertrand Russell</p>",1,43,0
332,141,2011-12-14 04:42:24.587,Zoe,2012-05-03 19:44:13.203,NULL,"Portland, OR",30,NULL,5,0,0
334,101,2011-12-14 08:22:57.107,Andrija Cacanovic,2012-12-01 19:58:36.460,http://andrijac.github.io,Serbia,32,<p>Software developer</p>,0,0,0
335,1,2011-12-14 16:15:35.463,Padmanabhan Thangaraj,2011-12-20 18:46:07.327,NULL,NULL,NULL,NULL,0,0,0
336,1,2011-12-14 18:23:15.750,Queco Jones,2011-12-24 00:17:30.930,http://about.me/quecojones,Jersey,38,NULL,0,0,0
338,96,2011-12-15 03:29:01.973,Leigh Dutton Carver,2011-12-15 12:52:57.070,NULL,NULL,NULL,NULL,1,0,0
339,101,2011-12-15 03:39:46.923,Justin King,2011-12-15 03:55:33.887,http://www.kingjustin.com,"Sydney, Australia",41,NULL,0,0,0
340,101,2011-12-15 08:01:06.637,lavonardo,2012-02-03 12:52:07.627,http://www.lavonardo.net/,"Helsinki, Finland",44,A fallen hacker on a vaguely defined quest for a therapy project.,0,1,0
341,101,2011-12-15 08:58:57.510,PrivateSniper,2011-12-17 15:17:15.113,http://www.vsysop.co.uk,United Kingdom,28,<p>Gamer/Technology Enthusiast from North East of England</p>,1,0,0
342,101,2011-12-15 09:22:09.310,admintech,2011-12-15 09:22:09.310,http://google.com,"Farnham, United Kingdom",25,"<p>Been working in tech support for the past 5 years.</p>  <p>Worked my way slowly through the superuser ranks and proud of it</p>  <p><a href=""http://twitter.com/#!/Luke_Techy"" rel=""nofollow"">Twitter</a><br> <a href=""http://www.facebook.com/Luke.Tech.Thomas"" rel=""nofollow"">Facebook</a><br> <a href=""https://plus.google.com/108621399438244403742"" rel=""nofollow"">Google Plus</a><br></p>  <p><a href=""http://stackexchange.com/users/440d078f76e24b01b08f33ad99f2d23f""> <img src=""http://stackexchange.com/users/flair/440d078f76e24b01b08f33ad99f2d23f.png"" width=""208"" height=""58"" alt=""profile for admintech on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for admintech on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>",0,0,0
343,1,2011-12-15 09:24:03.567,ainsliejones,2011-12-16 06:56:13.270,http://www.onlygowns.com,new york city,NULL,"<p>I am from los angeles . I am form catholic region my mom dad is belongs too fashion industry .I am 26 years old , fashion designer by profession working for fashion online shop named as Onlygowns.com . I am currently lives in new york city for a job .i have designed the products such as <a href=""http://www.onlygowns.com/purchase/cocktaildress.asp"" rel=""nofollow"">Cocktail Dresses</a>, Evening Gown and <a href=""http://www.onlygowns.com"" rel=""nofollow"">Ball Gown</a> , all the seasonal like winter dresses,event occasional , party dresses . I also writes the articles related women fashion , dressing style , celebrity fashion tips on fashion style .</p>",18,0,0
344,101,2011-12-15 09:41:12.310,Errant,2011-12-15 15:37:35.343,http://www.errant.me.uk,United Kingdom,NULL,"hacker, programmer, forensic analyst",1,0,0
346,101,2011-12-15 13:51:03.907,Jan,2012-01-09 08:45:56.883,NULL,"Hamburg, Germany",35,NULL,0,3,0
347,1,2011-12-15 14:54:37.540,sparanoid,2011-12-15 14:54:37.540,http://sparanoid.com/,NULL,NULL,NULL,0,0,0
349,101,2011-12-15 17:39:29.373,vsr,2011-12-15 17:39:29.373,http://vinayraikar.com,"Bangalore, India",30,<p>A human.</p>,0,1,0
350,301,2011-12-15 18:42:21.397,Captain Toad,2014-07-23 20:13:33.537,http://captaintoad.wordpress.com/,"England, United Kingdom",38,"<p>I am the development team leader for London South Bank University, overseeing the development team and their day-to-day duties.  I also still write code as well as setting the technical direction and making architectural decisions.</p>  <p>I've been developing software professionally for 20(!) years now...</p>  <p>I'm also an Android enthusiast and occasional developer.  I've had Windows phones since 2002 but am now the proud (and hugely productive) owner of an HTC One S, along with a whole host of other Android phones and tablets.</p>",5,12,0
351,39,2011-12-15 18:50:25.550,troll,2011-12-15 18:50:25.550,NULL,NULL,NULL,NULL,2,0,0
352,101,2011-12-15 20:09:50.207,Carra,2011-12-15 20:09:50.207,NULL,NULL,30,NULL,0,0,0
353,327,2011-12-15 21:17:47.197,Tim Pietzcker,2014-08-07 07:49:22.117,http://www.hs-ulm.de/ig,"Ulm, Germany",44,"<ul> <li>Python aficionado (both Monty's and Guido's versions)</li> <li>Regex hobbyist</li> <li>Avid musician (piano, drums and percussion, currently playing with the Symphony Orchestra of the University of Applied Sciences in Ulm and the Rock Band of the University of Applied Sciences in Neu-Ulm)</li> </ul>  <p>My professional life so far:  </p>  <ul> <li>Studied medicine in Freiburg (Germany), Zürich (Switzerland) and Seattle, WA</li> <li>Worked as a doctor in Internal and Intensive Care Medicine, then switched to Microbiology, Virology and Epidemiology</li> <li>Always loved chasing bugs (microbial and logical)</li> <li>Back to school a few years ago for an MBA in Hospital Management</li> <li>Since 2010: Working as a Professor of Medicine and Health Technologies at the University of Applied Sciences in Ulm, teaching in the faculty of Computer Science (yeah, sounds weird, I know)</li> </ul>  <p>If you're interested in a (German) BSc program in Health Information Management, where you'll learn about the intricate connections between IT, management, and medicine, check out our <a href=""http://www.hs-ulm.de/ig"" rel=""nofollow"">homepage</a>!</p>  <p>Funny StackOverflow achievements:</p>  <ul> <li>Sole owner (as of July 2013) of the <a href=""http://stackoverflow.com/help/badges/2927/regex-negation"">regex-negation</a> badge</li> <li>Winner of the gold Java badge despite never having written a single program in this language. (Being a regex one-trick pony pays off in unexpected ways :))</li> </ul>",678,10,1
354,101,2011-12-15 22:26:57.403,ren,2014-08-11 10:52:12.980,NULL,NULL,NULL,NULL,5,1,0
355,101,2011-12-15 22:51:25.690,klaffenboeck,2014-07-03 20:00:01.380,NULL,"Vienna, Austria",32,NULL,2,0,0
356,2242,2011-12-16 02:38:40.403,Lelouch Lamperouge,2014-09-10 02:46:30.720,NULL,"Syracuse, NY",26,<p>I am a Graduate Student in Computer Science.</p>,90,29,7
357,101,2011-12-16 04:56:16.180,Yottagray,2011-12-16 04:56:16.180,NULL,NULL,NULL,NULL,0,2,0
358,101,2011-12-16 05:40:17.387,Gabriel Fair,2014-03-24 04:56:15.407,http://gabrielfair.com,"Clemson, SC",25,"<p>Just here to learn.</p>  <p><a href=""http://stackexchange.com/users/318122/gabriel-fair""><img src=""http://stackexchange.com/users/flair/318122.png"" width=""208"" height=""58"" alt=""profile for Gabriel Fair on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Gabriel Fair on Stack Exchange, a network of free, community-driven Q&amp;A sites"" /></a></p>",0,6,0
359,1,2011-12-16 08:44:39.550,diabolik,2011-12-19 01:02:35.013,NULL,NULL,NULL,NULL,0,0,0
360,103,2011-12-16 11:06:00.187,dgw,2012-02-21 01:48:55.297,http://technobabbl.es/,"Waltham, MA",23,NULL,1,1,0
361,101,2011-12-16 12:06:38.860,Antoops,2013-08-08 06:28:46.700,NULL,"Bangalore, India",NULL,NULL,2,0,0
363,101,2011-12-16 22:38:56.513,Tall Jeff,2011-12-16 22:38:56.513,http://stackexchange.com,United States,46,"<p><i>Chief Operating Officer</i> at <b><i>Stack Exchange</i></b>, aka, Stack Exchange Coveted Associate <a href=""http://stackexchange.com/about/management"">#C800:0000</a></p>  <p>Previously, I was Founder/CTO of <a href=""http://www.allworx.com"" rel=""nofollow"">Allworx</a> that achieved a respectable exit and in general think of myself as an <a href=""http://www.crunchbase.com/person/jeffrey-szczepanski"" rel=""nofollow"">Entrepreneur</a>.<br></p>  <p>I like to work on and think about building businesses, market positioning and product strategy. Although, by training, I'm a Software Engineer, Hardware Engineer, Embedded systems and Networking Expert.</p>",0,0,0
364,101,2011-12-16 23:00:24.670,Dolbz,2011-12-17 00:12:37.593,NULL,"Bath, United Kingdom",28,NULL,0,0,0
365,191,2011-12-16 23:19:39.060,Speldosa,2012-10-25 22:38:22.123,http://www.martinlarsson.net,"Stockholm, Sweden",30,<p>I’m redefining myself. Please stand by…</p>,1,0,0
366,863,2011-12-16 23:39:02.573,Mark Mayo,2014-01-16 11:59:00.283,http://www.marksmayo.com,"London, United Kingdom",34,"<p>Completed a first class Honours Degree in Computer Science back in 2002.<br> <hr> Been jumping between development and test since, and my niche is probably developing automated test frameworks and systems.  But I enjoy venturing into the unknown and trying new things and have worked in a variety of domains, from network communication to air traffic control to gaming platforms. <hr> Also love my travelling and photography, and am getting into writing.</p>  <hr>  <blockquote>   <p>""In theory, this should work...""</p> </blockquote>",26,54,0
367,101,2011-12-17 03:03:43.280,Roman Zolotarev,2013-01-03 01:57:32.880,http://romanzolotarev.com,NULL,NULL,NULL,0,0,0
368,101,2011-12-17 07:18:36.197,Jonathan Van Matre,2014-03-27 19:48:21.430,NULL,"Austin, TX",NULL,NULL,0,1,0
369,101,2011-12-17 07:46:51.687,Vitaly,2013-05-01 20:35:57.400,http://english.stackexchange.com/users/3286/,NULL,NULL,"<p>I declare myself to be operating by <a href=""http://www.sl4.org/crocker.html"" rel=""nofollow"">Crocker's rules</a>.</p>",0,0,0
370,101,2011-12-17 08:36:23.900,Salman,2013-12-17 20:05:06.320,http://www.esalman.com,Bangladesh,29,<p>I am an electrical engineer and I go to business school. I am into software and web development now and recently co-founded a technology company called Dimik IT.</p>,1,0,0
371,101,2011-12-17 11:06:22.580,Chiron,2013-06-08 09:18:17.110,NULL,Some where between this world and the other,NULL,"<p>Guitarist, phoenix, programmer, readoholic, movies junkie, Bruce Wayne.</p>  <p>(println \h\u\b\a\g\h\d\a\d\i\~\@\~\g\m\a\i\l.\c\o\m)</p>",0,1,0
372,103,2011-12-17 17:02:08.620,refhat,2012-03-03 05:42:16.230,NULL,NULL,NULL,NULL,7,1,0
373,101,2011-12-17 17:37:57.000,David,2014-07-07 23:39:34.527,http://www.openwetware.org/wiki/User:David_S_LeBauer,"Urbana, IL",NULL,NULL,0,4,0
374,101,2011-12-17 19:36:35.307,Ashutosh Dave,2014-03-27 13:29:37.107,http://ashudave.tumblr.com,"Ahmadabad, India",24,<ul> <li>Geek</li> <li>Avid Reader</li> <li>Lifelong Learner</li> </ul>,0,4,0
375,101,2011-12-17 19:47:44.463,Wudang,2011-12-17 19:47:44.463,NULL,NULL,NULL,NULL,0,0,0
376,759,2011-12-17 23:20:15.097,puk,2014-03-25 00:59:48.723,NULL,NULL,NULL,NULL,44,13,0
377,101,2011-12-17 23:50:57.433,CodeMaster123,2011-12-17 23:50:57.433,NULL,Nashik,26,<p>I'm working as a ROR programmer</p>,0,0,0
378,101,2011-12-18 01:38:33.903,keflavich,2011-12-18 01:38:33.903,http://casa.colorado.edu/~ginsbura/,Colorado,29,"<p>I'm an astrophysicist and heavy numpy / scipy user.</p> <p><a href=""http://twitter.com/keflavich"">@keflavich</a></p>",0,0,0
379,421,2011-12-18 05:27:00.973,Peter Grill,2014-08-06 22:41:20.963,,"San Jose, CA",NULL,,23,760,0
380,101,2011-12-18 06:57:22.730,screener,2011-12-18 06:57:22.730,NULL,Brazil,NULL,NULL,1,2,0
381,101,2011-12-18 12:07:16.987,mateuscb,2012-02-06 15:36:58.923,NULL,"Boulder, CO",35,"<p>Until now, my work experience has been in C/C++ windows development. As of 2009, I've started working with web development. More specifically C# ASP.NET MVC.</p>",3,1,0
382,20325,2011-12-18 14:16:08.567,Nobby,2014-09-13 18:32:16.457,http://www.NeilBaker.com,"Oshawa, Canada",47,"<p>Artist, filmmaker and traditional animator.</p>  <p>Eater of sausages and student of squirrels.</p>",584,640,33
383,311,2011-12-18 14:57:02.173,pully6,2011-12-18 14:57:02.173,NULL,London,NULL,NULL,1,0,0
384,101,2011-12-18 17:40:08.897,sorens,2011-12-18 17:40:08.897,http://bit.ly/skorens_gp,San Francisco Bay Area,44,<p>Fortes fortuna juvat</p>,0,1,0
385,101,2011-12-18 19:47:04.123,Royce Williams,2013-08-05 00:02:35.283,http://royce.ws/,"Anchorage, AK",41,"<p> I'm an Alaskan geek with geeky hobbies: I collect Alaskan license plates and cans of SPAM.  I also adore a couple of specific Alaskan girls. </p>  <p> In the geek world, I'm a cross-platform sysadmin from an ISP background -- mostly FreeBSD. I know Perl, bash and some PHP.  I'm interested in learning more PHP, Javascript, Android, Hadoop, and Puppet.  I've recently jumped into InfoSec in the financial sector. </p>  <p> The quality of my personal web site (circa 1995) should be attributed to how much spare time I have, not to my skill. :-) </p>",0,0,0
386,3320,2011-12-18 22:08:38.117,Hugo,2014-08-29 08:19:57.937,NULL,NULL,NULL,NULL,51,149,17
387,1,2011-12-18 23:36:40.933,camurgo,2011-12-18 23:36:40.933,NULL,NULL,NULL,NULL,0,0,0
388,131,2011-12-19 02:00:35.477,Matthew Flaschen,2014-08-18 23:09:03.180,NULL,"Philadelphia, PA",26,"<p>I'm a software engineer at the Wikimedia Foundation.  I'm on the <a href=""https://www.mediawiki.org/wiki/Growth_team"" rel=""nofollow"">Growth</a> team.</p>  <p>In 2010, I earned my BS in Computer Science from <a href=""http://en.wikipedia.org/wiki/Georgia_Institute_of_Technology"" rel=""nofollow"">Georgia Tech</a>, where I was a research assistant with the <a href=""http://www.cc.gatech.edu/elc/"" rel=""nofollow"">Electronic Learning Communities</a> lab.</p>  <p>Feel free to try out <a href=""http://en.wikipedia.org/wiki/User%3aProveIt_GT"" rel=""nofollow"">ProveIt</a>, a tool we developed at ELC for Wikipedia reference management.</p>  <p>You can contact me <a href=""http://mailhide.recaptcha.net/d?k=01F0OoRULNEwCmtg4FLP4z1w==&amp;c=38bm1T9WD3xm8LxwFxQn5fWtjQxnEfWHdmPosAg5qpc="" rel=""nofollow"">here</a>.</p>",0,10,0
389,101,2011-12-19 04:31:30.643,Agnel Kurian,2012-10-06 21:33:44.867,http://agnelkurian.com,"Bangalore, India",36,<p>C/C++ Programmer doing CAD on Windows. Some web development experience. Bangalorean.</p>,0,2,0
390,234,2011-12-19 04:51:15.360,MZ2,2012-01-26 11:08:54.760,,USA,NULL,,0,3,1
391,1,2011-12-19 05:44:05.943,kirkaracha,2014-08-19 21:15:03.850,http://www.magneato.com,NULL,NULL,NULL,0,0,0
392,101,2011-12-19 15:31:54.743,avis,2012-01-18 14:26:53.313,NULL,"Bangalore, India",NULL,NULL,0,0,0
393,101,2011-12-19 18:27:29.083,craniumonempty,2011-12-19 18:44:22.613,http://stackoverflow.com/users/540753,Brazil,37,"<p>Mainly C/C++, PHP, MySQL, and other web languages. I like to touch all kinds of code though, so don't mind getting a little dirty with something not yet known.</p>",0,0,0
396,138,2011-12-19 20:13:16.377,John Saunders,2014-02-03 05:14:10.600,http://johnwsaunders3.wordpress.com/,"Phoenix, AZ, USA",56,"<p><a href=""http://careers.stackoverflow.com/johnwsaundersiii/"">My CV</a><br> <a href=""http://johnwsaunders3.wordpress.com/"" rel=""nofollow"">This is <em>not</em> a Blog</a></p>",18,26,0
397,1,2011-12-19 20:37:31.227,Pete,2011-12-19 20:37:31.227,https://github.com/6,"Boston, MA",25,NULL,0,0,0
398,138,2011-12-19 23:49:06.687,jrdioko,2013-02-25 17:30:59.890,NULL,NULL,NULL,NULL,0,4,0
399,121,2011-12-20 01:29:39.793,idober,2013-06-21 14:58:23.347,http://www.google.com,Israel,29,NULL,4,14,0
400,101,2011-12-20 02:38:28.057,JohnFx,2011-12-27 07:27:40.943,http://improvingsoftware.com,United States,43,"<p>Development Manager. Software Developer. Texan.</p>  <p>You can follow me on twitter at: <a href=""http://twitter.com/johnfx"" rel=""nofollow"">http://twitter.com/johnfx</a></p>  <p>I also have a blog at: <a href=""http://improvingsoftware.com"" rel=""nofollow"">http://improvingsoftware.com</a></p>",1,7,0
401,101,2011-12-20 04:36:49.800,Chris K,2011-12-21 05:44:36.027,http://www.mhsil.com,"Springfield, IL",45,"<p>I keep rather busy being an interface architect / senior developer at <a href=""https://www.choosememorial.org"" rel=""nofollow"">Memorial Health Systems</a>, a research scientist at the Western Kentucky University <a href=""http://www.wku.edu/cdl"" rel=""nofollow"">Cyber Defense Laboratory</a>, and the president / senior developer at <a href=""http://www.drighten.com"" rel=""nofollow"">Drighten Research</a>.</p>  <p>I've worked as a project manager and application developer within various industries, including government research, online advertising, healthcare, and e-learning.</p>  <p>I've written proposals to fund research projects and managed budgets and teams to successfully complete funded projects. I've led teams to support IS and IT services for large user communities. I find it rewarding to interact with these communities to determine how best to meet their needs.</p>  <p>I also have fun making websites on the side, like the <a href=""http://www.twistedterra.com"" rel=""nofollow"">Twisted Terra</a> site for a small community of talented ceramic artists.</p>",1,2,0
402,103,2011-12-20 06:46:04.260,Martin Geisler,2012-01-01 18:54:23.607,http://geisler.net/,"Zurich, Switzerland",32,"<p>Hi! I've studied cryptography at University of Aarhus in Denmark. I now like in Zurich, Switzerland. I mostly work with Python, but also like functional languages like Haskell a lot. I became involved in the Mercurial project in 2008. I work at Rackspace in Zurich since 2013.</p>  <p>You can <a href=""https://plus.google.com/+MartinGeisler/"" rel=""nofollow"">follow me on Google Plus</a> if you want to see what I'm up to or take a <a href=""http://careers.stackoverflow.com/mg"">look at my CV</a> if you want to know what I've worked with.</p>",1,3,0
403,1,2011-12-20 09:36:48.290,lafe,2011-12-20 09:36:48.290,NULL,"Paderborn, Germany",31,NULL,0,0,0
404,101,2011-12-20 10:10:52.327,Abbas,2012-01-23 00:24:01.543,http://stackoverflow.com/users/4714/abbas,"Karachi, Pakistan",33,"<p>Officially, full-time technical project manager and part-time code tinkerer. My biggest daily challenge is to do less of the former and more of the latter. </p>  <p> You can contact me at: <br /> <img src=""http://phpapps.hostoi.com/emailAddress.php"" alt=""Sorry, can't show email address as text""> </p>  <p><a href=""http://stackoverflow.com/users/4714/abbas""> <img src=""http://stackoverflow.com/users/flair/4714.png"" width=""208"" height=""58"" alt=""Stack Overflow profile for Abbas at Stack Overflow, Q&amp;A for professional and enthusiast programmers"" title=""Stack Overflow profile for Abbas at Stack Overflow, Q&amp;A for professional and enthusiast programmers""> </a></p>  <p><a href=""http://serverfault.com/users/64681/abbas""> <img src=""http://serverfault.com/users/flair/64681.png"" width=""208"" height=""58"" alt=""Server Fault profile for Abbas at Server Fault, Q&amp;A for system administrators and IT professionals"" title=""Server Fault profile for Abbas at Server Fault, Q&amp;A for system administrators and IT professionals""> </a></p>  <p><a href=""http://superuser.com/users/60397/abbas""> <img src=""http://superuser.com/users/flair/60397.png"" width=""208"" height=""58"" alt=""Super User profile for Abbas at Super User, Q&amp;A for computer enthusiasts and power users"" title=""Super User profile for Abbas at Super User, Q&amp;A for computer enthusiasts and power users""> </a></p>",0,4,0
405,1,2011-12-20 10:33:08.073,haRacz,2012-01-21 12:53:29.967,http://web-layers.net,NULL,NULL,NULL,0,0,0
406,181,2011-12-20 12:50:03.687,lobner,2014-07-25 06:13:40.390,http://www.lobner.dk,"Copenhagen, Denmark",31,"<p>BSc. Computer Science, Copenhagen, Denmark.</p>  <p>Find/contact me on <a href=""http://www.facebook.com/lobner"" rel=""nofollow"">facebook</a>, <a href=""http://twitter.com/lobner"" rel=""nofollow"">twitter</a>, <a href=""https://www.linkedin.com/profile/view?id=12299324"" rel=""nofollow"">linkedin</a> or my <a href=""http://www.lobner.dk"" rel=""nofollow"">personal website</a>.</p>",1,0,0
407,175,2011-12-20 15:49:57.867,kasdega,2012-04-29 14:16:56.863,NULL,"Minneapolis, MN",NULL,NULL,3,0,0
408,101,2011-12-20 20:08:26.343,nicerobot,2011-12-20 20:08:26.343,http://nicerobot.org,United States,NULL,"<p><em>Disclaimer: I do not speak for my current, prior, nor future employer unless expressly noted. All my views and software posted publicly are my own.</em></p>  <p>Let's <a href=""http://kicktheclouds.org"" rel=""nofollow"">Kick The Clouds</a>!</p>  <p>My standards developments and apps, <a href=""https://github.com/nicerobot"" rel=""nofollow"">github</a>:</p>  <ul> <li><a href=""http://xupl.org/"" rel=""nofollow"">xupl</a> - a terse alternative to XML and even JSON</li> <li><a href=""http://generate.nextval.org/"" rel=""nofollow"">NextVal</a> is global, atomic sequence generator</li> <li><a href=""http://dgst.org/"" rel=""nofollow"">DiGeST</a> authentication for APIs</li> <li><a href=""http://date-time.info/"" rel=""nofollow"">isnow</a> - date/time repetition language</li> <li><a href=""http://opensynapse.info/"" rel=""nofollow"">Open Synapse</a> - metadata-based mind mapping</li> <li>A <a href=""http://be.simplis.tk/"" rel=""nofollow"">simplis.tk</a>, focus-oriented to-do list (ideal for mobile)</li> <li><p>I created the revolutionary <a href=""http://uplang.org/"" rel=""nofollow"">Up Langauge</a>.</p></li> <li><p>I work primarily with Java/Scala, JavaScript, C/ObjC, Python, Go (golang), and Bash. I still dabble in Perl now and then.</p></li> </ul>",0,0,0
409,103,2011-12-20 22:12:59.307,81bronco,2014-08-03 21:01:45.937,http://raleighbuckner.com,South Carolina,38,"<p>senior web developer, building sites with ASP.NET C#, HTML, CSS, XML/XSLT, Flash and Flex<br/><br/></p>  <p>You can also find me on Twitter: @81bronco</p>",0,19,0
410,101,2011-12-20 22:34:32.627,auujay,2012-01-06 18:57:19.757,http://vorlon.case.edu/~axj33,"Cleveland, OH",33,<p>C# and C++ developer at a software company.  On the weekends I spend a lot of time fixing and remodeling my 1926 foursquare house.</p>,0,4,0
411,564,2011-12-20 22:51:29.333,Scivitri,2014-06-25 22:17:07.157,NULL,NULL,NULL,NULL,7,10,2
412,101,2011-12-21 04:13:08.513,Karolinger,2012-04-13 18:55:32.963,NULL,NULL,NULL,"<blockquote>   <p>The only dumb question is a question you don't ask</p> </blockquote>  <ul> <li>Paul MacCready (1925 - 2007), Inventor</li> </ul>",0,0,0
413,1,2011-12-21 05:28:34.523,Lav,2011-12-21 05:28:34.523,NULL,India,27,NULL,0,0,0
414,101,2011-12-21 09:44:28.140,AviD,2014-06-26 10:37:10.510,http://www.linkedin.com/in/avidouglen,Israel,39,<p>Security expert and experienced Windows programmer</p>,0,7,0
415,1,2011-12-21 13:02:11.563,Luis Otávio,2011-12-21 13:02:11.563,NULL,NULL,NULL,NULL,0,0,0
416,101,2011-12-21 13:27:55.203,Salt,2011-12-21 13:27:55.203,http://www.salthareket.com,"Berlin, Germany",39,<p>Viva La Punk!!!...</p>,0,0,0
417,1134,2011-12-21 13:35:30.247,jonsca,2014-08-21 06:28:23.227,NULL,United States,NULL,<p>It really bothers me when people write something here for the sole purpose of filling the box.</p>,30,1381,89
418,1358,2011-12-21 13:53:57.257,Dragos,2014-08-20 11:19:14.617,NULL,NULL,NULL,NULL,66,323,1
420,101,2011-12-21 17:02:45.720,nuc,2011-12-21 17:02:45.720,http://nuc.gr,Berlin,33,"<p>I'm George and I'm a <a href=""http://moviepilot.com"" rel=""nofollow"">Web Developer</a>, a sweet <a href=""http://www.flickr.com/photos/nuc/4685521273/"" rel=""nofollow"">dad</a>, a music <a href=""http://www.last.fm/user/spacedive"" rel=""nofollow"">passionate</a>, a decent <a href=""http://cl.ly/30gL"" rel=""nofollow"">cook</a>, an osx <a href=""http://apple.stackexchange.com/users/1475/nuc"">geek</a>, a board game <a href=""http://boardgamegeek.com/user/nuchosya"" rel=""nofollow"">lover</a>...</p>",0,2,0
421,226,2011-12-21 17:43:10.573,morganpdx,2014-07-21 23:02:02.097,http://www.morganpdx.com,"Portland, OR",44,"<p>All good, all the time.</p>  <p>Se vc fala Português, apoia <a href=""http://area51.stackexchange.com/proposals/26339/portuguese-language?referrer=cVdXeveTUXH7Xdj2Jldccw2"">proposta de lingua Português</a> no area 51!</p>",1,0,0
